intended_target,condition,target_item,targetType,comp_item,compType,contrast_item,distractor_item,UtteranceCat,target_typ,comp_typ
target,ttn,green_lettuce,lettuce,green_broccoli,broccoli,yellow_corn,red_strawberry,typeOnly,typical,typical
target,aan,white_tomato,tomato,white_pumpkin,pumpkin,green_lettuce,orange_carrot,colorType,atypical,atypical
target,ttn,white_egg,egg,white_swan,swan,green_lettuce,red_broccoli,typeOnly,typical,typical
target,ttn,orange_carrot,carrot,orange_pumpkin,pumpkin,green_lettuce,yellow_strawberry,typeOnly,typical,typical
competitor,tap,orange_carrot,carrot,orange_lettuce,lettuce,green_carrot,red_broccoli,colorType,typical,atypical
target,ttn,red_tomato,tomato,red_strawberry,strawberry,yellow_corn,green_lettuce,colorType,typical,typical
target,aap,yellow_egg,egg,yellow_strawberry,strawberry,white_egg,green_lettuce,colorType,atypical,atypical
target,atp,yellow_egg,egg,yellow_corn,corn,white_egg,green_broccoli,colorType,atypical,typical
target,atn,yellow_egg,egg,yellow_corn,corn,white_swan,red_tomato,colorType,atypical,typical
target,tan,green_broccoli,broccoli,green_carrot,carrot,orange_banana,white_pumpkin,typeOnly,typical,atypical
target,atn,red_corn,corn,red_strawberry,strawberry,orange_lettuce,white_swan,typeOnly,atypical,typical
competitor,ttp,red_strawberry,strawberry,red_tomato,tomato,yellow_strawberry,orange_lettuce,typeOnly,typical,typical
target,tap,red_strawberry,strawberry,red_broccoli,broccoli,yellow_strawberry,orange_pumpkin,colorType,typical,atypical
competitor,atp,red_corn,corn,red_strawberry,strawberry,yellow_corn,white_pumpkin,typeOnly,atypical,typical
